Date;Close;;;;;;
01/11/2016;123.30;;;;;;
31/10/2016;124.87;;;;;;
28/10/2016;126.57;;;;;;
27/10/2016;126.47;;;;;;
26/10/2016;126.97;;;;;;
25/10/2016;126.51;;;;;;
24/10/2016;127.33;;;;;;
21/10/2016;127.50;;;;;;
20/10/2016;123.35;;;;;;
19/10/2016;121.87;;;;;;
18/10/2016;118.79;;;;;;
17/10/2016;99.80,;;;;;;
14/10/2016;101.47;;;;;;
13/10/2016;100.23;;;;;;
12/10/2016;99.50,;;;;;;
11/10/2016;100.59;;;;;;
10/10/2016;103.33;;;;;;
07/10/2016;104.82;;;;;;
06/10/2016;105.07;;;;;;
05/10/2016;106.28;;;;;;
04/10/2016;102.34;;;;;;
03/10/2016;102.63;;;;;;
30/09/2016;98.55,;;;;;;
29/09/2016;96.67,;;;;;;
28/09/2016;97.48,;;;;;;
27/09/2016;97.07,;;;;;;
26/09/2016;94.56,;;;;;;
23/09/2016;95.94,;;;;;;
22/09/2016;95.83,;;;;;;
21/09/2016;94.88,;;;;;;
20/09/2016;98.25,;;;;;;
19/09/2016;98.06,;;;;;;
16/09/2016;99.48,;;;;;;
15/09/2016;97.34,;;;;;;
14/09/2016;97.01,;;;;;;
13/09/2016;96.09,;;;;;;
12/09/2016;99.05,;;;;;;
09/09/2016;96.50,;;;;;;
08/09/2016;99.66,;;;;;;
07/09/2016;99.15,;;;;;;
06/09/2016;100.09;;;;;;
02/09/2016;97.38,;;;;;;
01/09/2016;97.38,;;;;;;
31/08/2016;97.45,;;;;;;
30/08/2016;97.45,;;;;;;
29/08/2016;97.30,;;;;;;
26/08/2016;97.58,;;;;;;
25/08/2016;97.32,;;;;;;
24/08/2016;95.18,;;;;;;
23/08/2016;95.94,;;;;;;
22/08/2016;95.26,;;;;;;
19/08/2016;95.87,;;;;;;
18/08/2016;96.16,;;;;;;
17/08/2016;96.37,;;;;;;
16/08/2016;95.12,;;;;;;
15/08/2016;95.31,;;;;;;
12/08/2016;96.59,;;;;;;
11/08/2016;95.89,;;;;;;
10/08/2016;93.93,;;;;;;
09/08/2016;93.99,;;;;;;
08/08/2016;95.11,;;;;;;
05/08/2016;97.03,;;;;;;
04/08/2016;93.44,;;;;;;
03/08/2016;93.10,;;;;;;
02/08/2016;93.56,;;;;;;
01/08/2016;94.37,;;;;;;
29/07/2016;91.25,;;;;;;
28/07/2016;91.65,;;;;;;
27/07/2016;92.04,;;;;;;
26/07/2016;91.41,;;;;;;
25/07/2016;87.66,;;;;;;
22/07/2016;85.89,;;;;;;
21/07/2016;85.99,;;;;;;
20/07/2016;87.91,;;;;;;
19/07/2016;85.84,;;;;;;
18/07/2016;98.81,;;;;;;
15/07/2016;98.39,;;;;;;
14/07/2016;98.02,;;;;;;
13/07/2016;96.43,;;;;;;
12/07/2016;95.97,;;;;;;
11/07/2016;94.67,;;;;;;
08/07/2016;97.06,;;;;;;
07/07/2016;95.10,;;;;;;
06/07/2016;94.60,;;;;;;
05/07/2016;97.91,;;;;;;
01/07/2016;96.67,;;;;;;
30/06/2016;91.48,;;;;;;
29/06/2016;91.06,;;;;;;
28/06/2016;87.97,;;;;;;
27/06/2016;85.33,;;;;;;
24/06/2016;88.44,;;;;;;
23/06/2016;91.66,;;;;;;
22/06/2016;90.01,;;;;;;
21/06/2016;90.99,;;;;;;
20/06/2016;93.80,;;;;;;
17/06/2016;94.45,;;;;;;
16/06/2016;95.44,;;;;;;
15/06/2016;94.29,;;;;;;
14/06/2016;94.12,;;;;;;
13/06/2016;93.85,;;;;;;
10/06/2016;93.75,;;;;;;
09/06/2016;97.09,;;;;;;
08/06/2016;97.86,;;;;;;
07/06/2016;99.89,;;;;;;
06/06/2016;100.74;;;;;;
03/06/2016;99.59,;;;;;;
02/06/2016;101.25;;;;;;
01/06/2016;101.51;;;;;;
31/05/2016;102.57;;;;;;
27/05/2016;103.30;;;;;;
26/05/2016;102.81;;;;;;
25/05/2016;100.20;;;;;;
24/05/2016;97.89,;;;;;;
23/05/2016;94.89,;;;;;;
20/05/2016;92.49,;;;;;;
19/05/2016;89.55,;;;;;;
18/05/2016;90.50,;;;;;;
17/05/2016;88.63,;;;;;;
16/05/2016;89.12,;;;;;;
13/05/2016;87.88,;;;;;;
12/05/2016;87.74,;;;;;;
11/05/2016;90.02,;;;;;;
10/05/2016;92.89,;;;;;;
09/05/2016;90.54,;;;;;;
06/05/2016;90.84,;;;;;;
05/05/2016;89.37,;;;;;;
04/05/2016;90.79,;;;;;;
03/05/2016;91.54,;;;;;;
02/05/2016;93.11,;;;;;;
29/04/2016;90.03,;;;;;;
28/04/2016;90.28,;;;;;;
27/04/2016;91.04,;;;;;;
26/04/2016;92.43,;;;;;;
25/04/2016;93.56,;;;;;;
22/04/2016;95.90,;;;;;;
21/04/2016;94.98,;;;;;;
20/04/2016;96.77,;;;;;;
19/04/2016;94.34,;;;;;;
18/04/2016;108.40;;;;;;
15/04/2016;111.51;;;;;;
14/04/2016;110.42;;;;;;
13/04/2016;109.65;;;;;;
12/04/2016;106.98;;;;;;
11/04/2016;102.68;;;;;;
08/04/2016;103.81;;;;;;
07/04/2016;104.45;;;;;;
06/04/2016;104.83;;;;;;
05/04/2016;104.94;;;;;;
04/04/2016;104.35;;;;;;
01/04/2016;105.70;;;;;;
31/03/2016;102.23;;;;;;
30/03/2016;102.19;;;;;;
29/03/2016;104.13;;;;;;
28/03/2016;101.21;;;;;;
24/03/2016;98.36,;;;;;;
23/03/2016;99.59,;;;;;;
22/03/2016;99.84,;;;;;;
21/03/2016;101.06;;;;;;
18/03/2016;101.12;;;;;;
17/03/2016;99.72,;;;;;;
16/03/2016;99.35,;;;;;;
15/03/2016;97.86,;;;;;;
14/03/2016;98.13,;;;;;;
11/03/2016;97.66,;;;;;;
10/03/2016;97.36,;;;;;;
09/03/2016;98.00,;;;;;;
08/03/2016;96.23,;;;;;;
07/03/2016;95.49,;;;;;;
04/03/2016;101.58;;;;;;
03/03/2016;97.93,;;;;;;
02/03/2016;97.61,;;;;;;
